Status,Location,Service,25 kHz,8.33kHz,Indicated Conversion Date,LARS/SQUAWK,ICAO Code
Conversion Requested,ABERDEEN/DYCE,TWR,118.100,118.105,13/09/2018,-,EGPD
Conversion Requested,ABERDEEN/DYCE,APP,119.050,119.055,13/09/2018,-,EGPD
Not Yet Converted,ABERDEEN/DYCE,APP,120.400,,,-,EGPD
Not Yet Converted,ABERDEEN/DYCE,APP,121.250,,,-,EGPD
Not Yet Converted,ABERDEEN/DYCE,APP,121.250,,,-,EGPD
Conversion Completed,ABERDEEN/DYCE,AS,121.675,121.680,01/04/2018,-,EGPD
Conversion Requested,ABERDEEN/DYCE,AS,121.700,121.705,13/09/2018,-,EGPD
Conversion Requested,ABERDEEN/DYCE,ATIS,121.850,121.855,13/09/2018,-,EGPD
Conversion Requested,ABERDEEN/DYCE,APP,128.300,128.305,13/09/2018,-,EGPD
Not Yet Converted,ABERDEEN/DYCE,A/G,131.275,,,-,EGPD
Not Yet Converted,ABERPORTH,A/G,133.500,,,-,-
Not Yet Converted,ABERPORTH RAD,FIS,119.650,,,-,EGPD
Not Yet Converted,ALDERNEY,TWR,125.350,,,-,EGJA
Not Yet Converted,ANDREWS FIELD,A/G,130.550,,,-,EGSL
Not Yet Converted,ARBROATH,A/G,124.100,,,-,-
Not Yet Converted,ASHCROFT,A/G,131.025,,,-,-
Not Yet Converted,BACTON,A/G,123.625,,,-,-
Not Yet Converted,BADMINTON,A/G,123.175,,,-,-
Not Yet Converted,BAGBY,A/G,123.250,,,-,-
Not Yet Converted,BARKSTON HEATH,TWR,120.425,,,-,-
Not Yet Converted,BARKSTON HEATH,ATIS,132.125,,,-,-
Not Yet Converted,BARQUE/CLIPPER FIELD,A/G,133.575,,,-,-
Not Yet Converted,BARRA,AFIS,118.075,,,-,EGPR
Conversion Requested,BARROW/WALNEY ISLAND,TWR,123.200,123.205,16/05/2018,-,EGNL
Conversion Requested,BARROW/WALNEY ISLAND,OPC,130.375,131.415,16/05/2018,-,EGNL
Not Yet Converted,BARTON,AFIS,120.250,,,-,EGCB
Not Yet Converted,BAXBY,A/G,118.600,,,-,-
Not Yet Converted,BECCLES,A/G,120.375,,,-,EGSM
Not Yet Converted,BEDFORD,A/G,119.025,,,-,EGBF
Not Yet Converted,BELFAST CITY,TWR,122.825,,,-,EGAC
Not Yet Converted,BELFAST CITY,APP,130.850,,,LARS/SQUAWK,EGAC
Not Yet Converted,BELFAST CITY,APP,134.800,,,-,EGAC
Not Yet Converted,BELFAST CITY,ATIS,136.625,,,-,EGAC
Not Yet Converted,BELFAST/ALDERGROVE,TWR,118.300,,,-,EGAA
Not Yet Converted,BELFAST/ALDERGROVE,APP,120.900,,,-,EGAA
Not Yet Converted,BELFAST/ALDERGROVE,AS,121.750,,,-,EGAA
Not Yet Converted,BELFAST/ALDERGROVE,ATIS,128.200,,,-,EGAA
Not Yet Converted,BELFAST/ALDERGROVE,APP,128.500,,,LARS/SQUAWK,EGAA
Not Yet Converted,BEMBRIDGE,A/G,123.250,,,-,-
Not Yet Converted,BENBECULA,APP,119.200,,,-,EGPL
Not Yet Converted,BENBECULA,A/G,133.500,,,-,EGPL
Not Yet Converted,BENSON,APP,120.900,,,-,-
Not Yet Converted,BENSON,AS,121.800,,,-,-
Not Yet Converted,BENSON,TWR,127.150,,,-,-
Not Yet Converted,BENSON,APP,136.450,,,-,-
Not Yet Converted,BEVERLEY/LINLEY HILL,A/G,123.050,,,-,-
Not Yet Converted,BIGGIN HILL,APP,129.400,,,-,EGKB
Not Yet Converted,BIGGIN HILL,TWR,134.800,,,-,EGKB
Not Yet Converted,BIGGIN HILL,ATIS,135.675,,,-,EGKB
Conversion Requested,BIRMINGHAM,APP,118.050,123.980,01/05/2018,LARS/SQUAWK,EGBB
Conversion Requested,BIRMINGHAM,TWR,118.300,118.305,01/05/2018,-,EGBB
Conversion Requested,BIRMINGHAM,AS,121.800,121.805,01/05/2018,-,EGBB
Conversion Requested,BIRMINGHAM,AS,121.925,121.930,01/05/2018,-,EGBB
Conversion Requested,BIRMINGHAM,APP,131.000,131.005,01/05/2018,-,EGBB
Conversion Requested,BIRMINGHAM,APP,131.325,131.330,01/05/2018,-,EGBB
Conversion Requested,BIRMINGHAM,ATIS,136.025,136.030,01/05/2018,-,EGBB
Conversion Completed,BLACKBUSHE,AFIS,122.300,122.305,28/02/2018,-,EGLK
Not Yet Converted,BLACKPOOL,TWR,118.400,,,-,EGNH
Not Yet Converted,BLACKPOOL,APP,119.950,,,-,EGNH
Not Yet Converted,BLACKPOOL,ATIS,127.200,,,-,EGNH
Not Yet Converted,BODMIN,A/G,122.700,122.690,,-,-
Not Yet Converted,BOSCOMBE DOWN,A/G,118.750,,,-,EGDM
Not Yet Converted,BOSCOMBE DOWN,AS,121.800,,,-,EGDM
Not Yet Converted,BOSCOMBE DOWN,APP,126.700,,,LARS/SQUAWK,EGDM
Not Yet Converted,BOSCOMBE DOWN,TWR,130.000,,,-,EGDM
Not Yet Converted,BOSCOMBE DOWN,APP,130.750,,,-,EGDM
Conversion Requested,BOURN,A/G,124.350,124.355,TBC,-,-
Not Yet Converted,BOURNE PARK,A/G,134.850,,,-,-
Not Yet Converted,BOURNEMOUTH,ATIS,133.725,,,-,EGHH
Not Yet Converted,BOURNEMOUTH/HURN,APP,118.650,,,-,EGHH
Not Yet Converted,BOURNEMOUTH/HURN,APP,119.475,,,LARS/SQUAWK,EGHH
Not Yet Converted,BOURNEMOUTH/HURN,AS,121.700,,,-,EGHH
Not Yet Converted,BOURNEMOUTH/HURN,TWR,125.600,,,-,EGHH
Conversion Requested,BREIGHTON,A/G,129.800,129.805,01/05/2018,-,-
Conversion Completed,BRIMPTON/WASING,A/G,,135.130,01/03/2018,-,EGLP
Not Yet Converted,BRISTOL/LULSGATE,AS,121.925,,,-,EGGD
Not Yet Converted,BRISTOL/LULSGATE,APP,125.650,,,LARS/SQUAWK,EGGD
Not Yet Converted,BRISTOL/LULSGATE,ATIS,126.025,,,-,EGGD
Not Yet Converted,BRISTOL/LULSGATE,TWR,133.850,,,-,EGGD
Not Yet Converted,BRISTOL/LULSGATE,APP,136.075,,,-,EGGD
Not Yet Converted,BRIZE NORTON,APP,119.000,,,-,EGVN
Not Yet Converted,BRIZE/NORTON,AS,121.725,,,-,EGVN
Not Yet Converted,BRIZE/NORTON,APP,123.550,,,-,EGVN
Not Yet Converted,BRIZE/NORTON,APP,123.725,,,-,EGVN
Not Yet Converted,BRIZE/NORTON,APP,124.275,,,-,EGVN
Not Yet Converted,BRIZE/NORTON,APP,127.250,,,-,EGVN
Not Yet Converted,BRIZE/NORTON,APP,133.750,,,-,EGVN
Not Yet Converted,BRUNTINGTHORPE,A/G,122.825,,,-,-
Not Yet Converted,CAERNARFON,A/G,122.250,,,-,EGCK
Conversion Requested,CAMBRIDGE,AS,121.775,,TBC,-,EGSC
Conversion Requested,CAMBRIDGE,APP,123.600,,TBC,-,EGSC
Not Yet Converted,CAMBRIDGE,APP,124.975,,,-,EGSC
Conversion Requested,CAMBRIDGE,TWR,125.900,,TBC,-,EGSC
